    Finished `release` profile [optimized] target(s) in 0.04s
     Running `target/release/train_dmc --num-envs 256 --steps 20000000 --batch-size 1024 --train-freq 4 --eval-freq 1000000 --eval-random-matches 100 --eval-naive-matches 0 --eval-smart-matches 0 --save-freq 500000 --pool-frac 0`
Device: CUDA
Envs: 256, Steps: 20000000, LR: 0.0003, Hidden: 1024
Training: batch=1024, freq=4
PER: alpha=0.6, beta=0.4->1
Opponents: 90% self, 0% pool, 10% random

      Step |   Eps |  Beta |  Buffer |     Loss | Episodes | Steps/s
    750000 | 0.228 | 0.422 | 2000000 |   0.0387 |  5164967 |     452
    760000 | 0.227 | 0.423 | 2000000 |   0.0385 |  5233851 |     425
    770000 | 0.227 | 0.423 | 2000000 |   0.0385 |  5302713 |     440
    780000 | 0.227 | 0.423 | 2000000 |   0.0388 |  5371569 |     445
    790000 | 0.226 | 0.424 | 2000000 |   0.0386 |  5440456 |     434
    800000 | 0.226 | 0.424 | 2000000 |   0.0384 |  5509308 |     430
    810000 | 0.226 | 0.424 | 2000000 |   0.0384 |  5578178 |     430
    820000 | 0.225 | 0.425 | 2000000 |   0.0388 |  5647048 |     431
    830000 | 0.225 | 0.425 | 2000000 |   0.0388 |  5715931 |     422
    840000 | 0.225 | 0.425 | 2000000 |   0.0384 |  5784804 |     437
    850000 | 0.225 | 0.425 | 2000000 |   0.0383 |  5853692 |     418
    860000 | 0.224 | 0.426 | 2000000 |   0.0385 |  5922568 |     440
    870000 | 0.224 | 0.426 | 2000000 |   0.0385 |  5991430 |     437
    880000 | 0.224 | 0.426 | 2000000 |   0.0383 |  6060288 |     435
    890000 | 0.223 | 0.427 | 2000000 |   0.0386 |  6129149 |     437
    900000 | 0.223 | 0.427 | 2000000 |   0.0383 |  6198034 |     424
    910000 | 0.223 | 0.427 | 2000000 |   0.0381 |  6266894 |     434
    920000 | 0.222 | 0.428 | 2000000 |   0.0379 |  6335782 |     432
    930000 | 0.222 | 0.428 | 2000000 |   0.0376 |  6404648 |     446
    940000 | 0.222 | 0.428 | 2000000 |   0.0379 |  6473515 |     445
    950000 | 0.222 | 0.428 | 2000000 |   0.0380 |  6542386 |     432
    960000 | 0.221 | 0.429 | 2000000 |   0.0374 |  6611263 |     434
    970000 | 0.221 | 0.429 | 2000000 |   0.0377 |  6680160 |     435
    980000 | 0.221 | 0.429 | 2000000 |   0.0377 |  6749035 |     435
    990000 | 0.220 | 0.430 | 2000000 |   0.0376 |  6817914 |     431
   1000000 | 0.220 | 0.430 | 2000000 |   0.0371 |  6886783 |     433
  [EVAL] deals 67% | rand 88% (20s)
  [SAVE] models/dmc_1000000.safetensors
   1010000 | 0.220 | 0.430 | 2000000 |   0.0375 |  6955666 |     236
   1020000 | 0.219 | 0.431 | 2000000 |   0.0373 |  7024534 |     441
   1030000 | 0.219 | 0.431 | 2000000 |   0.0375 |  7093392 |     444
   1040000 | 0.219 | 0.431 | 2000000 |   0.0373 |  7162270 |     438
   1050000 | 0.219 | 0.431 | 2000000 |   0.0374 |  7231138 |     438
   1060000 | 0.218 | 0.432 | 2000000 |   0.0375 |  7299994 |     438
   1070000 | 0.218 | 0.432 | 2000000 |   0.0372 |  7368867 |     449
   1080000 | 0.218 | 0.432 | 2000000 |   0.0376 |  7437739 |     439
   1090000 | 0.217 | 0.433 | 2000000 |   0.0373 |  7506631 |     428
   1100000 | 0.217 | 0.433 | 2000000 |   0.0371 |  7575486 |     437
   1110000 | 0.217 | 0.433 | 2000000 |   0.0370 |  7644372 |     432
   1120000 | 0.216 | 0.434 | 2000000 |   0.0371 |  7713237 |     395
   1130000 | 0.216 | 0.434 | 2000000 |   0.0369 |  7782108 |     436
   1140000 | 0.216 | 0.434 | 2000000 |   0.0366 |  7850978 |     445
   1150000 | 0.216 | 0.434 | 2000000 |   0.0368 |  7919847 |     428
   1160000 | 0.215 | 0.435 | 2000000 |   0.0366 |  7988718 |     436
   1170000 | 0.215 | 0.435 | 2000000 |   0.0362 |  8057582 |     415
   1180000 | 0.215 | 0.435 | 2000000 |   0.0365 |  8126474 |     419
   1190000 | 0.214 | 0.436 | 2000000 |   0.0363 |  8195350 |     442
   1200000 | 0.214 | 0.436 | 2000000 |   0.0362 |  8264214 |     448
   1210000 | 0.214 | 0.436 | 2000000 |   0.0366 |  8333079 |     439
   1220000 | 0.213 | 0.437 | 2000000 |   0.0366 |  8401960 |     425
   1230000 | 0.213 | 0.437 | 2000000 |   0.0362 |  8470852 |     444
   1240000 | 0.213 | 0.437 | 2000000 |   0.0364 |  8539732 |     439
   1250000 | 0.213 | 0.437 | 2000000 |   0.0362 |  8608607 |     431
